Username,User,A,P,B,P,C,P,Global,P
u21240385,Өсөхбаатар.Д УБ Баянзүрх Nest Багш,100.0,,100.0,,100.0,,300.0,
u21240591,Батжаргал.С ӨГ Цогтцэций 2 Математикийн багш,60.0,,1.0,,55.0,,116.0,
u21240626,Батсүх.Д УВ Баруунтуруун МХТС Багш,50.0,,0.0,,0.0,,50.0,
u21240592,Баттогтох.Ц ДА Дархан 26-р сургууль Багш,0.0,,0.0,,40.0,,40.0,
u21240609,"Ган-Эрдэнэ.М ХЭ Дархан ДаТС-ийн харьяа ЕБ-ийн Ахлах сургууль Математик, мэдээллийн технологийн багш",0.0,,0.0,,25.0,,25.0,
u21240493,Цэдэвсүрэн.Ц УВ Улаангом Цогцолбор 1-р сургууль Багш,0.0,,4.0,,15.0,,19.0,
u21240117,Батжаргал.Ч УВ Улаангом 2-р Цогцолбор Багш,0.0,,3.0,,15.0,,18.0,
u21240143,Ариунаа.Н УБ СХД 106-р сургууль багш,0.0,,0.0,,15.0,,15.0,
u21240635,Бямбасүрэн.Б УВ Улаангом 1-р цогцолбор Багш,0.0,,4.0,,10.0,,14.0,
u21240563,Галбадрах.Д ДУ Сайнцагаан 4 Багш,0.0,,0.0,,10.0,,10.0,
u21240622,u21240622 Багш,0.0,,0.0,,5.0,,5.0,
u21240080,u21240080 Багш,0.0,,1.0,,0.0,,1.0,
u21240149,u21240149 Багш,0.0,,1.0,,0.0,,1.0,
u21240616,u21240616 Багш,0.0,,0.0,,0.0,,0.0,
u21240038,u21240038 Багш,0.0,,0.0,,0.0,,0.0,
u21240074,u21240074 Багш,0.0,,0.0,,0.0,,0.0,
u21240224,u21240224 Багш,0.0,,0.0,,0.0,,0.0,
u21240627,u21240627 Багш,0.0,,0.0,,0.0,,0.0,
u21240442,u21240442 Багш,0.0,,0.0,,0.0,,0.0,
u21240524,u21240524 Багш,0.0,,0.0,,0.0,,0.0,
u21240073,u21240073 Багш,0.0,,0.0,,0.0,,0.0,
u21240057,u21240057 Багш,0.0,,0.0,,0.0,,0.0,
u21240085,u21240085 Багш,0.0,,0.0,,0.0,,0.0,
u21240136,u21240136 Багш,0.0,,0.0,,0.0,,0.0,
u21240452,u21240452 Багш,0.0,,0.0,,0.0,,0.0,
u21240037,u21240037 Багш,0.0,,0.0,,0.0,,0.0,
u21240276,u21240276 Багш,0.0,,0.0,,0.0,,0.0,
u21240043,u21240043 Багш,0.0,,0.0,,0.0,,0.0,
