Username,User,A,P,B,P,C,P,Global,P
u24660577,u24660577 Ахлах,100.0,,100.0,,100.0,,300.0,
u24660512,u24660512 Ахлах,100.0,,100.0,,100.0,,300.0,
u24660681,u24660681 Ахлах,50.0,,100.0,,100.0,,250.0,
u24661214,u24661214 Ахлах,40.0,,100.0,,100.0,,240.0,
u24660889,u24660889 Ахлах,40.0,,100.0,,100.0,,240.0,
u24661470,u24661470 Ахлах,40.0,,100.0,,100.0,,240.0,
u24660888,u24660888 Ахлах,20.0,,100.0,,100.0,,220.0,
u24661463,u24661463 Ахлах,20.0,,100.0,,100.0,,220.0,
u24660977,u24660977 Ахлах,100.0,,100.0,,0.0,,200.0,
u24661408,u24661408 Ахлах,100.0,,90.0,,0.0,,190.0,
u24661413,u24661413 Ахлах,20.0,,100.0,,57.0,,177.0,
u24661004,u24661004 Ахлах,60.0,,85.0,,29.0,,174.0,
u24660692,u24660692 Ахлах,70.0,,95.0,,0.0,,165.0,
u24660844,u24660844 Ахлах,60.0,,100.0,,0.0,,160.0,
u24661080,u24661080 Ахлах,20.0,,100.0,,29.0,,149.0,
u24661156,u24661156 Дунд,20.0,,95.0,,29.0,,144.0,
u24661458,u24661458 Ахлах,0.0,,100.0,,43.0,,143.0,
u24660937,u24660937 Ахлах,10.0,,100.0,,29.0,,139.0,
u24661469,u24661469 Ахлах,70.0,,30.0,,29.0,,129.0,
u24661443,u24661443 Ахлах,20.0,,5.0,,100.0,,125.0,
u24661171,u24661171 Ахлах,20.0,,100.0,,0.0,,120.0,
u24661450,u24661450 Ахлах,20.0,,100.0,,0.0,,120.0,
u24661181,u24661181 Дунд,20.0,,0.0,,100.0,,120.0,
u24661342,u24661342 Ахлах,20.0,,85.0,,0.0,,105.0,
u24661485,u24661485 Ахлах,20.0,,85.0,,0.0,,105.0,
u24661351,u24661351 Ахлах,20.0,,85.0,,0.0,,105.0,
u24661478,u24661478 Ахлах,20.0,,85.0,,0.0,,105.0,
u24661070,u24661070 Ахлах,0.0,,90.0,,0.0,,90.0,
u24661300,u24661300 Ахлах,60.0,,25.0,,0.0,,85.0,
u24661306,u24661306 Ахлах,0.0,,40.0,,43.0,,83.0,
u24660891,u24660891 Ахлах,20.0,,30.0,,29.0,,79.0,
u24661406,u24661406 Ахлах,20.0,,40.0,,14.0,,74.0,
u24661464,u24661464 Ахлах,70.0,,0.0,,0.0,,70.0,
u24661452,u24661452 Ахлах,70.0,,0.0,,0.0,,70.0,
u24661410,u24661410 Дунд,20.0,,40.0,,0.0,,60.0,
u24661414,u24661414 Ахлах,20.0,,10.0,,29.0,,59.0,
u24661385,u24661385 Ахлах,50.0,,5.0,,0.0,,55.0,
u24661243,u24661243 Ахлах,20.0,,30.0,,0.0,,50.0,
u24660738,u24660738 Ахлах,50.0,,0.0,,0.0,,50.0,
u24661456,u24661456 Ахлах,20.0,,30.0,,0.0,,50.0,
u24661202,u24661202 Ахлах,0.0,,0.0,,43.0,,43.0,
u24661475,u24661475 Дунд,10.0,,30.0,,0.0,,40.0,
u24660976,u24660976 Ахлах,30.0,,5.0,,0.0,,35.0,
u24660952,u24660952 Ахлах,30.0,,0.0,,0.0,,30.0,
u24661316,u24661316 Ахлах,0.0,,0.0,,29.0,,29.0,
u24661251,u24661251 Ахлах,20.0,,5.0,,0.0,,25.0,
u24661151,u24661151 Ахлах,20.0,,0.0,,0.0,,20.0,
u24661324,u24661324 Ахлах,20.0,,0.0,,0.0,,20.0,
u24661312,u24661312 Ахлах,20.0,,0.0,,0.0,,20.0,
u24660967,u24660967 Ахлах,20.0,,0.0,,0.0,,20.0,
u24661196,u24661196 Ахлах,20.0,,0.0,,0.0,,20.0,
u24661165,u24661165 Ахлах,20.0,,0.0,,0.0,,20.0,
u24661204,u24661204 Ахлах,20.0,,0.0,,0.0,,20.0,
u24661445,u24661445 Ахлах,20.0,,0.0,,0.0,,20.0,
u24660938,u24660938 Ахлах,20.0,,0.0,,0.0,,20.0,
u24661336,u24661336 Ахлах,10.0,,0.0,,0.0,,10.0,
u24661468,u24661468 Ахлах,10.0,,0.0,,0.0,,10.0,
u24661473,u24661473 Ахлах,10.0,,0.0,,0.0,,10.0,
u24661232,u24661232 Ахлах,10.0,,0.0,,0.0,,10.0,
u24661127,u24661127 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661477,u24661477 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661328,u24661328 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661484,u24661484 Дунд,0.0,,0.0,,0.0,,0.0,
u24661483,u24661483 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661428,u24661428 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661472,u24661472 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661455,u24661455 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661384,u24661384 Дунд,0.0,,0.0,,0.0,,0.0,
u24661461,u24661461 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661449,u24661449 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661453,u24661453 Ахлах,0.0,,0.0,,0.0,,0.0,
u24660660,u24660660 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661462,u24661462 Дунд,0.0,,0.0,,0.0,,0.0,
u24661480,u24661480 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661479,u24661479 Ахлах,0.0,,0.0,,0.0,,0.0,
u24661448,u24661448 Ахлах,0.0,,0.0,,0.0,,0.0,
