Username,User,A,P,B,P,C,P,Global,P
u24661025,u24661025 Багш,100.0,,100.0,,100.0,,300.0,
u24661465,u24661465 Багш,100.0,,100.0,,100.0,,300.0,
u24660788,u24660788 Багш,100.0,,100.0,,50.0,,250.0,
u24660136,u24660136 Багш,100.0,,100.0,,0.0,,200.0,
u24660442,u24660442 Багш,100.0,,100.0,,0.0,,200.0,
u24661212,u24661212 Багш,100.0,,100.0,,0.0,,200.0,
u24661386,u24661386 Багш,100.0,,100.0,,0.0,,200.0,
u24660149,u24660149 Багш,2.0,,100.0,,14.0,,116.0,
u24660117,u24660117 Багш,2.0,,0.0,,100.0,,102.0,
u24661098,u24661098 Багш,2.0,,100.0,,0.0,,102.0,
u24660966,u24660966 Багш,100.0,,0.0,,0.0,,100.0,
u24661045,u24661045 Багш,2.0,,0.0,,36.0,,38.0,
u24660341,u24660341 Багш,2.0,,0.0,,0.0,,2.0,
u24660616,u24660616 Багш,2.0,,0.0,,0.0,,2.0,
u24661447,u24661447 Багш,2.0,,0.0,,0.0,,2.0,
u24660073,u24660073 Багш,0.0,,0.0,,0.0,,0.0,
u24660074,u24660074 Багш,0.0,,0.0,,0.0,,0.0,
u24660101,u24660101 Багш,0.0,,0.0,,0.0,,0.0,
u24660342,u24660342 Багш,0.0,,0.0,,0.0,,0.0,
u24661140,u24661140 Багш,0.0,,0.0,,0.0,,0.0,
u24661177,u24661177 Багш,0.0,,0.0,,0.0,,0.0,
u24661187,u24661187 Багш,0.0,,0.0,,0.0,,0.0,
u24661274,u24661274 Багш,0.0,,0.0,,0.0,,0.0,
u24661346,u24661346 Багш,0.0,,0.0,,0.0,,0.0,
u24661395,u24661395 Багш,0.0,,0.0,,0.0,,0.0,
u24661466,u24661466 Багш,0.0,,0.0,,0.0,,0.0,
u24661471,u24661471 Багш,0.0,,0.0,,0.0,,0.0,
u24661481,u24661481 Багш,0.0,,0.0,,0.0,,0.0,
u24661487,u24661487 Багш,0.0,,0.0,,0.0,,0.0,
