Username,User,A,P,B,P,C,P,Global,P
u24690512,u24690512 Ахлах,100.0,,100.0,,98.0,,298.0,
u24690577,u24690577 Ахлах,100.0,,100.0,,56.0,,256.0,
u24691413,u24691413 Ахлах,100.0,,90.0,,36.0,,226.0,
u24690891,u24690891 Ахлах,50.0,,100.0,,73.0,,223.0,
u24691513,u24691513 Ахлах,100.0,,81.0,,36.0,,217.0,
u24690889,u24690889 Ахлах,33.0,,100.0,,82.0,,215.0,
u24690977,u24690977 Ахлах,100.0,,100.0,,13.0,,213.0,
u24691214,u24691214 Ахлах,50.0,,100.0,,56.0,,206.0,
u24691470,u24691470 Ахлах,83.0,,100.0,,13.0,,196.0,
u24690937,u24690937 Ахлах,50.0,,100.0,,33.0,,183.0,
u24690844,u24690844 Ахлах,100.0,,62.0,,7.0,,169.0,
u24691410,u24691410 Ахлах,50.0,,43.0,,73.0,,166.0,
u24691408,u24691408 Ахлах,50.0,,43.0,,56.0,,149.0,
u24691070,u24691070 Ахлах,8.0,,100.0,,40.0,,148.0,
u24691443,u24691443 Ахлах,0.0,,100.0,,44.0,,144.0,
u24691463,u24691463 Ахлах,50.0,,52.0,,40.0,,142.0,
u24691251,u24691251 Ахлах,17.0,,52.0,,69.0,,138.0,
u24691414,u24691414 Ахлах,42.0,,24.0,,42.0,,108.0,
u24691156,u24691156 Ахлах,50.0,,0.0,,56.0,,106.0,
u24691385,u24691385 Ахлах,33.0,,62.0,,11.0,,106.0,
u24691453,u24691453 Ахлах,17.0,,0.0,,78.0,,95.0,
u24690681,u24690681 Ахлах,50.0,,33.0,,9.0,,92.0,
u24691406,u24691406 Ахлах,50.0,,0.0,,40.0,,90.0,
u24691469,u24691469 Ахлах,17.0,,62.0,,7.0,,86.0,
u24691455,u24691455 Ахлах,0.0,,0.0,,82.0,,82.0,
u24690888,u24690888 Ахлах,0.0,,29.0,,49.0,,78.0,
u24691452,u24691452 Ахлах,0.0,,0.0,,78.0,,78.0,
u24691004,u24691004 Ахлах,25.0,,10.0,,40.0,,75.0,
u24691165,u24691165 Ахлах,8.0,,43.0,,24.0,,75.0,
u24691232,u24691232 Ахлах,58.0,,0.0,,0.0,,58.0,
u24691151,u24691151 Ахлах,33.0,,5.0,,18.0,,56.0,
u24691196,u24691196 Ахлах,50.0,,0.0,,4.0,,54.0,
u24690952,u24690952 Ахлах,50.0,,0.0,,0.0,,50.0,
u24690938,u24690938 Ахлах,0.0,,48.0,,0.0,,48.0,
u24691530,u24691530 Ахлах,17.0,,0.0,,31.0,,48.0,
u24690967,u24690967 Ахлах,0.0,,43.0,,2.0,,45.0,
u24691456,u24691456 Ахлах,17.0,,0.0,,27.0,,44.0,
u24691578,u24691578 Ахлах,17.0,,0.0,,16.0,,33.0,
u24691243,u24691243 Ахлах,17.0,,0.0,,11.0,,28.0,
u24691171,u24691171 Ахлах,0.0,,0.0,,24.0,,24.0,
u24691202,u24691202 Ахлах,17.0,,0.0,,4.0,,21.0,
u24691454,u24691454 Ахлах,0.0,,0.0,,18.0,,18.0,
u24691501,u24691501 Ахлах,17.0,,0.0,,0.0,,17.0,
u24691565,u24691565 Ахлах,17.0,,0.0,,0.0,,17.0,
u24691428,u24691428 Ахлах,0.0,,0.0,,4.0,,4.0,
u24691204,u24691204 Ахлах,0.0,,0.0,,0.0,,0.0,
u24691316,u24691316 Ахлах,0.0,,0.0,,0.0,,0.0,
u24691450,u24691450 Ахлах,0.0,,0.0,,0.0,,0.0,
