Username,User,A,P,B,P,C,P,Global,P
u25740889,u25740889 Ахлах,100.0,*,100.0,,39.0,,239.0,*
u24740512,u24740512 Ахлах,100.0,,100.0,,39.0,,239.0,
u25740577,u25740577 Ахлах,100.0,,100.0,,39.0,,239.0,
u25741004,u25741004 Ахлах,100.0,*,91.0,,39.0,,230.0,*
u25740977,u25740977 Ахлах,100.0,,100.0,,22.0,,222.0,
u25741413,u25741413 Ахлах,100.0,,94.0,,22.0,,216.0,
u25741165,u25741165 Ахлах,100.0,*,91.0,,22.0,,213.0,*
u25740844,u25740844 Ахлах,100.0,,91.0,,22.0,,213.0,
u25740938,u25740938 Ахлах,100.0,,91.0,,22.0,,213.0,
u25740967,u25740967 Ахлах,100.0,,91.0,,22.0,,213.0,
u25741156,u25741156 Ахлах,100.0,,91.0,,22.0,,213.0,
u25741181,u25741181 Ахлах,100.0,,91.0,,22.0,,213.0,
u25741214,u25741214 Ахлах,100.0,,91.0,,22.0,,213.0,
u25741410,u25741410 Ахлах,100.0,,91.0,,22.0,,213.0,
u25741443,u25741443 Ахлах,100.0,,79.0,,22.0,,201.0,
u25741463,u25741463 Ахлах,100.0,,68.0,,0.0,,168.0,
u25740891,u25740891 Ахлах,100.0,,32.0,,22.0,,154.0,
u25741406,u25741406 Ахлах,30.0,,91.0,,22.0,,143.0,
u25741408,u25741408 Ахлах,100.0,,21.0,,22.0,,143.0,
u25740888,u25740888 Ахлах,100.0,,41.0,,0.0,,141.0,
u25741450,u25741450 Ахлах,100.0,,0.0,,22.0,,122.0,
u25741385,u25741385 Ахлах,30.0,,91.0,,0.0,,121.0,
u25740976,u25740976 Ахлах,100.0,,12.0,,0.0,,112.0,
u25740952,u25740952 Ахлах,0.0,,91.0,,0.0,,91.0,
u25741478,u25741478 Ахлах,0.0,,12.0,,0.0,,12.0,
u25741213,u25741213 Ахлах,0.0,*,3.0,,0.0,,3.0,*
u25741452,u25741452 Ахлах,0.0,*,0.0,,0.0,,0.0,*
u25741453,u25741453 Ахлах,0.0,*,0.0,,0.0,,0.0,*
u25740681,u25740681 Ахлах,0.0,,0.0,,0.0,,0.0,
u25741232,u25741232 Ахлах,0.0,,0.0,,0.0,,0.0,
u25741243,u25741243 Ахлах,0.0,,0.0,,0.0,,0.0,
