Username,User,A,P,B,P,C,P,Global,P
u25740149,u25740149 Багш,100.0,,0.0,,100.0,,200.0,
u25741045,u25741045 Багш,100.0,,5.0,,91.0,,196.0,
u25740493,u25740493 Багш,100.0,,0.0,,85.0,,185.0,
u25740788,u25740788 Багш,75.0,,5.0,,91.0,,171.0,
u25740442,u25740442 Багш,100.0,,0.0,,47.0,,147.0,
u25740117,u25740117 Багш,100.0,,0.0,,38.0,,138.0,
u25740554,u25740554 Багш,100.0,,0.0,,26.0,,126.0,
u25740085,u25740085 Багш,100.0,,0.0,,9.0,,109.0,
u25740052,u25740052 Багш,100.0,,0.0,,0.0,,100.0,
u25741601,u25741601 Багш,100.0,,0.0,,0.0,,100.0,
u25740101,u25740101 Багш,0.0,,0.0,,0.0,,0.0,
